kankersoort	periode	geslacht	leeftijdsgroep	cr
kanker_van_de_spijsverteringsorganen	1998	Man	group:65-69	431,2
kanker_van_de_spijsverteringsorganen	1998	Man	group:70-74	591,49
kanker_van_de_spijsverteringsorganen	1998	Man	group:75-79	745,49
kanker_van_de_spijsverteringsorganen	1998	Man	group:80-84	785,23
kanker_van_de_spijsverteringsorganen	1998	Man	group:85+	859,71
kanker_van_de_spijsverteringsorganen	1999	Man	group:0-4	0,6
kanker_van_de_spijsverteringsorganen	1999	Man	group:5-9	0,2
kanker_van_de_spijsverteringsorganen	1999	Man	group:10-14	0,21
kanker_van_de_spijsverteringsorganen	1999	Man	group:15-19	1,27
kanker_van_de_spijsverteringsorganen	1999	Man	group:20-24	1,03
kanker_van_de_spijsverteringsorganen	1999	Man	group:25-29	1,8
kanker_van_de_spijsverteringsorganen	1999	Man	group:30-34	5,07
kanker_van_de_spijsverteringsorganen	1999	Man	group:35-39	10,23
kanker_van_de_spijsverteringsorganen	1999	Man	group:40-44	23,63
kanker_van_de_spijsverteringsorganen	1999	Man	group:45-49	46,92
kanker_van_de_spijsverteringsorganen	1999	Man	group:50-54	96,86
kanker_van_de_spijsverteringsorganen	1999	Man	group:55-59	173,7
kanker_van_de_spijsverteringsorganen	1999	Man	group:60-64	280,06
kanker_van_de_spijsverteringsorganen	1999	Man	group:65-69	415,39
kanker_van_de_spijsverteringsorganen	1999	Man	group:70-74	588,31
kanker_van_de_spijsverteringsorganen	1999	Man	group:75-79	747,94
kanker_van_de_spijsverteringsorganen	1999	Man	group:80-84	841,38
kanker_van_de_spijsverteringsorganen	1999	Man	group:85+	814,43
kanker_van_de_spijsverteringsorganen	2000	Man	group:0-4	0,39
kanker_van_de_spijsverteringsorganen	2000	Man	group:5-9	0,39
kanker_van_de_spijsverteringsorganen	2000	Man	group:10-14	1,41
kanker_van_de_spijsverteringsorganen	2000	Man	group:15-19	1,26
kanker_van_de_spijsverteringsorganen	2000	Man	group:20-24	1,86
kanker_van_de_spijsverteringsorganen	2000	Man	group:25-29	2,76
kanker_van_de_spijsverteringsorganen	2000	Man	group:30-34	4,32
kanker_van_de_spijsverteringsorganen	2000	Man	group:35-39	11,14
kanker_van_de_spijsverteringsorganen	2000	Man	group:40-44	28,06
kanker_van_de_spijsverteringsorganen	2000	Man	group:45-49	50,1
kanker_van_de_spijsverteringsorganen	2000	Man	group:50-54	107,83
kanker_van_de_spijsverteringsorganen	2000	Man	group:55-59	177,15
kanker_van_de_spijsverteringsorganen	2000	Man	group:60-64	285,38
kanker_van_de_spijsverteringsorganen	2000	Man	group:65-69	426,8
kanker_van_de_spijsverteringsorganen	2000	Man	group:70-74	587,92
kanker_van_de_spijsverteringsorganen	2000	Man	group:75-79	735,51
kanker_van_de_spijsverteringsorganen	2000	Man	group:80-84	859,63
kanker_van_de_spijsverteringsorganen	2000	Man	group:85+	769,56
kanker_van_de_spijsverteringsorganen	2001	Man	group:0-4	0,78
kanker_van_de_spijsverteringsorganen	2001	Man	group:5-9	0,39
kanker_van_de_spijsverteringsorganen	2001	Man	group:10-14	0,59
kanker_van_de_spijsverteringsorganen	2001	Man	group:15-19	0,83
kanker_van_de_spijsverteringsorganen	2001	Man	group:20-24	2,46
kanker_van_de_spijsverteringsorganen	2001	Man	group:25-29	2,72
kanker_van_de_spijsverteringsorganen	2001	Man	group:30-34	5,52
kanker_van_de_spijsverteringsorganen	2001	Man	group:35-39	9
kanker_van_de_spijsverteringsorganen	2001	Man	group:40-44	23,29
kanker_van_de_spijsverteringsorganen	2001	Man	group:45-49	50,87
kanker_van_de_spijsverteringsorganen	2001	Man	group:50-54	95,1
kanker_van_de_spijsverteringsorganen	2001	Man	group:55-59	175,5
kanker_van_de_spijsverteringsorganen	2001	Man	group:60-64	298,21
kanker_van_de_spijsverteringsorganen	2001	Man	group:65-69	420,83
kanker_van_de_spijsverteringsorganen	2001	Man	group:70-74	593,39
kanker_van_de_spijsverteringsorganen	2001	Man	group:75-79	721
kanker_van_de_spijsverteringsorganen	2001	Man	group:80-84	770,38
kanker_van_de_spijsverteringsorganen	2001	Man	group:85+	780,04
kanker_van_de_spijsverteringsorganen	2002	Man	group:0-4	0,58
kanker_van_de_spijsverteringsorganen	2002	Man	group:10-14	1,76
kanker_van_de_spijsverteringsorganen	2002	Man	group:15-19	0,62
kanker_van_de_spijsverteringsorganen	2002	Man	group:20-24	2,24
kanker_van_de_spijsverteringsorganen	2002	Man	group:25-29	2,27
kanker_van_de_spijsverteringsorganen	2002	Man	group:30-34	6,04
kanker_van_de_spijsverteringsorganen	2002	Man	group:35-39	11,81
kanker_van_de_spijsverteringsorganen	2002	Man	group:40-44	23,08
kanker_van_de_spijsverteringsorganen	2002	Man	group:45-49	49,35
kanker_van_de_spijsverteringsorganen	2002	Man	group:50-54	104,76
kanker_van_de_spijsverteringsorganen	2002	Man	group:55-59	178,25
kanker_van_de_spijsverteringsorganen	2002	Man	group:60-64	296,87
kanker_van_de_spijsverteringsorganen	2002	Man	group:65-69	412,59
kanker_van_de_spijsverteringsorganen	2002	Man	group:70-74	589,03
kanker_van_de_spijsverteringsorganen	2002	Man	group:75-79	765,28
kanker_van_de_spijsverteringsorganen	2002	Man	group:80-84	871,53
kanker_van_de_spijsverteringsorganen	2002	Man	group:85+	775,21
kanker_van_de_spijsverteringsorganen	2003	Man	group:0-4	0,57
kanker_van_de_spijsverteringsorganen	2003	Man	group:5-9	0,2
kanker_van_de_spijsverteringsorganen	2003	Man	group:10-14	0,58
kanker_van_de_spijsverteringsorganen	2003	Man	group:15-19	0,61
kanker_van_de_spijsverteringsorganen	2003	Man	group:20-24	2,24
kanker_van_de_spijsverteringsorganen	2003	Man	group:25-29	2,92
kanker_van_de_spijsverteringsorganen	2003	Man	group:30-34	4,19
kanker_van_de_spijsverteringsorganen	2003	Man	group:35-39	13,08
kanker_van_de_spijsverteringsorganen	2003	Man	group:40-44	22,29
kanker_van_de_spijsverteringsorganen	2003	Man	group:45-49	52,91
kanker_van_de_spijsverteringsorganen	2003	Man	group:50-54	98,65
kanker_van_de_spijsverteringsorganen	2003	Man	group:55-59	184,21
kanker_van_de_spijsverteringsorganen	2003	Man	group:60-64	296,48
kanker_van_de_spijsverteringsorganen	2003	Man	group:65-69	428,8
kanker_van_de_spijsverteringsorganen	2003	Man	group:70-74	606,34
kanker_van_de_spijsverteringsorganen	2003	Man	group:75-79	776,16
kanker_van_de_spijsverteringsorganen	2003	Man	group:80-84	882,06
kanker_van_de_spijsverteringsorganen	2003	Man	group:85+	817,44
kanker_van_de_spijsverteringsorganen	2004	Man	group:0-4	0,58
kanker_van_de_spijsverteringsorganen	2004	Man	group:5-9	0,4
kanker_van_de_spijsverteringsorganen	2004	Man	group:10-14	1,16
kanker_van_de_spijsverteringsorganen	2004	Man	group:15-19	0,6
kanker_van_de_spijsverteringsorganen	2004	Man	group:20-24	1,43
kanker_van_de_spijsverteringsorganen	2004	Man	group:25-29	3,78
kanker_van_de_spijsverteringsorganen	2004	Man	group:30-34	6,5
kanker_van_de_spijsverteringsorganen	2004	Man	group:35-39	10,32
kanker_van_de_spijsverteringsorganen	2004	Man	group:40-44	27,62
kanker_van_de_spijsverteringsorganen	2004	Man	group:45-49	50,4
kanker_van_de_spijsverteringsorganen	2004	Man	group:50-54	102,84
kanker_van_de_spijsverteringsorganen	2004	Man	group:55-59	186,61
kanker_van_de_spijsverteringsorganen	2004	Man	group:60-64	316,09
kanker_van_de_spijsverteringsorganen	2004	Man	group:65-69	455,34
kanker_van_de_spijsverteringsorganen	2004	Man	group:70-74	606,18
kanker_van_de_spijsverteringsorganen	2004	Man	group:75-79	751,27
kanker_van_de_spijsverteringsorganen	2004	Man	group:80-84	903,2
kanker_van_de_spijsverteringsorganen	2004	Man	group:85+	830,64
kanker_van_de_spijsverteringsorganen	2005	Man	group:0-4	0,39
kanker_van_de_spijsverteringsorganen	2005	Man	group:5-9	0,39
kanker_van_de_spijsverteringsorganen	2005	Man	group:10-14	0,58
kanker_van_de_spijsverteringsorganen	2005	Man	group:15-19	0,99
